app_name,slowest_time,slowest_fpga,fastest_time,fastest_fpga,speedup
cl_array_partition,5.507570530800001,u280_hbm,5.0732577588000005,u280_ddr,1.0856082605396202
cl_burst_rw,1.2857848835999999,u280_ddr,1.1571119239,u50_hbm,1.1112018267570112
cl_dataflow_func,0.5518673560999998,u280_ddr,0.41830717660000005,u50_hbm,1.319287325131681
cl_dataflow_subfunc,0.5420304758999999,u280_ddr,0.42790030959999975,u280_hbm,1.2667213922015825
cl_helloworld,0.8189484139999996,u280_ddr,0.6648707415,u50_hbm,1.231740792431907
cl_lmem_2rw,0.8220458821000001,u280_ddr,0.7026834853999999,u50_hbm,1.169866517685489
cl_loop_reorder,1.7286125272000001,u280_ddr,1.5744013909999997,u280_hbm,1.0979490599294068
cl_partition_cyclicblock,12.873145783600002,u280_hbm,11.7363823887,u50_hbm,1.0968580740854608
cl_shift_register,57.96296730780001,u280_ddr,57.96296730780001,u280_ddr,1.0
cl_systolic_array,3.6751130580999996,u280_hbm,3.6250890728,u50_hbm,1.0137993810070332
cl_gmem_2banks,9.697113700900001,u280_hbm,9.6711187527,u280_ddr,1.0026878946339837
cl_wide_mem_rw,11.185317091999998,u50_hbm,11.147113554500002,u280_hbm,1.003427213449761
cl_wide_mem_rw_strm,8.2652694758,u280_hbm,8.2652694758,u280_hbm,1.0
cl_wide_mem_rw_2x,7.899703518199999,u280_ddr,7.690705602700001,u50_hbm,1.0271753888780535
cl_wide_mem_rw_4x,7.503698529199998,u280_ddr,6.529595817999998,u50_hbm,1.1491826965023948
